item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
Flower Edible Viola,,Produce,each,each,1,,,Punnet,Punnet,
Flowers Edible Phlox,,Produce,each,each,1,,,Punnet,Punnet,
Fords Gin,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
Fortaleza Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Fortaleza Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Fortaleza Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Four Pillars Rare Dry Gin,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
Frankly Bob Skinsy,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2100
Fresh Mix Forage 100g,,Produce,each,each,1,,,each,,
Freshwater Brewing Hazy Pale Keg,,Beer & Cider,keg,keg,1,,,50 L,50 L,27000
Freshwater Brewing Wedge Cerveza Keg,,Beer & Cider,keg,keg,1,,,50 L,50 L,27000
Frogmore Creek Riesling,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2116
G4 Añejo Tequila,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
G4 Blanco Tequila,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
G4 Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Garlic Peeled Bag,,Produce,each,each,1,,,Kilo,Kilo,627
Garlic Powder,,Herbs & Spices,each,each,1,,,540 Grams,540 Grams,901
Gentiane de Lure,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,3640
Geoff Merrill Jacko's Shiraz,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,
Geoff Merrill Reserve Cabernet Sauvignon,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,2483
Giffard Amaretto,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Giffard Coconut Syrup,,Non-Alcoholic & Mixers,each,each,1,,,1000 mL,1000 mL,1973
Giffard Falernum Syrup 1000ml,,Non-Alcoholic & Mixers,bottle,bottle,1,,,each,,2380
Giffard Ginger Syrup,,Non-Alcoholic & Mixers,each,each,1,,,1000 mL,1000 mL,2294
Giffard Green Apple Syrup,,Non-Alcoholic & Mixers,each,each,1,,,1000 mL,1000 mL,2313
Giffard Mandarin Liqueur,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,4867
Giffard Maraschino Liqueur,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Giffard Rose Syrup 1000ml,,Non-Alcoholic & Mixers,bottle,bottle,1,,,each,,2120
Giffard Vanilla Syrup,,Non-Alcoholic & Mixers,each,each,1,,,1000 mL,1000 mL,2110
Giffard Violette Liqueur,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Glen fi ddich 12yo Whiskey,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,7380
Gotas de Mar Albarino,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2515
Gran Centenario Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Grapefruit Juice,,Non-Alcoholic & Mixers,each,each,1,,,2 L,2 L,713
Grapefruit Ruby,,Produce,each,each,1,,,Kilo,Kilo,
Grey Goose,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
Greystone Pinot Gris 2024,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,1925
Greywacke Sauvignon Blanc,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2096
Heaps Normal Another Lager,,Beer & Cider,bottle,bottle,1,,,Each,Each,222
Heaps Normal Quiet XPA,,Beer & Cider,bottle,bottle,1,,,Each,Each,222
Helen's Hill The Smuggler Pinot Noir,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,
Hendricks Gin,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,6960
Herradura Agave Nectar,,Oils & Condiments,each,each,1,,,478 mL,478 mL,1124
Herradura Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Herradura Plata,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Herradura Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Herradura Seleccion Suprema Extra Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Herradura Ultra,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Honey,,Oils & Condiments,each,each,1,,,1 KG,1 KG,678
Ice Cream Chocolate,,Frozen,each,each,1,,,Litre,Litre,250
i Lauri AVALOS Pecorino,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2226
Ilegal Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Inama Soave Classico,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Ingram Road Chardonnay,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,1432
Jack Daniels,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,5180
Jameson Irish Whiskey,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,7760
Kendall Jackson Vintners Reserve Chardonnay,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Koch Ancestral Espadin,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Koch Arroqueno,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,8460
Koch Artesenal Espadin,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Koch Mexicano,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,8460
Koch Tepeztate,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,9360
La Belle Colette Rose,,Wine — Rosé,bottle,bottle,1,,,750 mL,750 mL,1964
La Fee Absinthe,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Lagrimas de Delores,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,10880
Large Red Capsicum,,Produce,each,each,1,,,Kilo,Kilo,715
Lark Hill Roxanne,,Wine — Sparkling,bottle,bottle,1,,,750 mL,750 mL,
Laurent Perrier La Cuvee Champagne,,Wine — Sparkling,bottle,bottle,1,,,750 mL,750 mL,6595
Lemons Large,,Produce,each,each,1,,,Kilo,Kilo,
Lettuce Baby Gem Box,,Produce,each,each,1,,,Each,Each,179
Lettuce Iceberg,,Produce,each,each,1,,,Each,Each,
Licor 43,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,5227
Lime Juice,,Non-Alcoholic & Mixers,each,each,1,,,Litre,Litre,1400
Limes,,Produce,each,each,1,,,Kilo,Kilo,3374
Los Siete Misterios Doba-Yej,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,8280
Lyres Agave Blanco,,Non-Alcoholic & Mixers,each,each,1,,,700 mL,700 mL,3133
Lyres Orange Sec,,Non-Alcoholic & Mixers,each,each,1,,,700 mL,700 mL,2976
Lyres White Cane,,Non-Alcoholic & Mixers,can,can,1,,,700 mL,700 mL,2926
Manly Spirits Coffee Liqueur,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,3687
Manly Spirits Dry Gin,,Spirits — Other,bottle,bottle,1,,,L,L,5471
Manly Spirits Triple Sec,,Liqueurs & Aperitifs,bottle,bottle,1,,,L,L,3875
Manly Spirits Triple Sec No Sugar,,Liqueurs & Aperitifs,bottle,bottle,1,,,L,L,3837
Manly Spirits Vodka,,Spirits — Other,bottle,bottle,1,,,L,L,4803
Marionette Blue Curacao,,Liqueurs & Aperitifs,bottle,bottle,1,,,500 mL,500 mL,4511
Massenez Birdseye Chili Liqueur,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,4842
Massenez Creme de Peche,,Liqueurs & Aperitifs,bottle,bottle,1,,,5 L,5 L,
Massenez Elder fl ower Liqueur,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,4180
Massenez Pomme Verte,,Liqueurs & Aperitifs,bottle,bottle,1,,,5 L,5 L,
Mayonnaise Whole Egg,,Oils & Condiments,each,each,1,,,Kilo,Kilo,920
Medley Tomatoes,,Produce,each,each,1,,,200 Grams,200 Grams,
Merlet Creme de Mure,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Mesculin Gold Mix Box,,Produce,each,each,1,,,Kilo,Kilo,
Mesculin Greens Mix,,Produce,each,each,1,,,kg,kg,1759
Mezcal Machetazo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Mezcal Verde,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,7660
Midnight Mixers Classic Dry Tonic,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,163
Midnight Mixers Soda Water,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,163
Milagro Silver,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,6515
Milk,,Dairy & Eggs,each,each,1,,,2 L,2 L,
Milk Condensed,,Dairy & Eggs,each,each,1,,,395 Grams,395 Grams,400
Mint Bunch,,Produce,bunch,bunch,1,,,Bunch,Bunch,
Mixed Berries Frozen,,Frozen,each,each,1,,,Kilo,Kilo,951
Modelo Especial,,Beer & Cider,bottle,bottle,1,,,Each,Each,281
Modus Operandi Cerveza,,Beer & Cider,bottle,bottle,1,,,Each,Each,
Moments of Clarity Riesling,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,1354
Monte fi li Chianti Classico,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,
Mustard Dijon,,Oils & Condiments,each,each,1,,,215 Grams,215 Grams,450
Never Never Dark Series Mediterranean Gin,,Spirits — Other,bottle,bottle,1,,,500 mL,500 mL,5640
Nuestra Soledad La Campania Ejutla,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,8880
Nuestra Soledad San Baltazar,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,8880
Nuestra Soledad San Luis del Rio,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,8880
Nuestra Soledad Santiago Matatlan,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Nut Hazelnut Roasted,,Dry / Pantry,each,each,1,,,Kilo,Kilo,2846
Nut Pistachio Kernel,,Dry / Pantry,each,each,1,,,Kilo,Kilo,
Nut Walnut,,Dry / Pantry,each,each,1,,,Kilo,Kilo,1977
Ocho Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Ocho Extra Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Ocho Plata,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Ocho Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Oil Canola Spray,,Oils & Condiments,each,each,1,,,450 Grams,450 Grams,450
Oil Grapeseed,,Oils & Condiments,each,each,1,,,Litre,Litre,1201
Oil Olive Extra Virgin,,Oils & Condiments,each,each,1,,,Litre,Litre,1227
Oil Olive Pomace,,Oils & Condiments,each,each,1,,,Litre,Litre,650
Oil Vegetable,,Oils & Condiments,each,each,1,,,Litre,Litre,294
Okar,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Onion Fried,,Dry / Pantry,each,each,1,,,1 KG,1 KG,
Onion Powder,,Herbs & Spices,each,each,1,,,500 Grams,500 Grams,895
Onions Brown,,Produce,each,each,1,,,Kilo,Kilo,171
Onions Spanish,,Produce,each,each,1,,,Kilo,Kilo,2802
Oranges Large,,Produce,each,each,1,,,Kilo,Kilo,428
Oregano Mexican 250gm,,Herbs & Spices,each,each,1,,,each,,1763
Origen Raiz Cenizo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Origen Raiz Chacaleno,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,12000
Origen Raiz Madrecuishe,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Origen Raiz Pechuga,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Origen Raiz Sotol,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,8640
Paprika Smoked,,Herbs & Spices,each,each,1,,,500 Grams,500 Grams,1201
Parrot Fish Fillets,,Seafood,kg,kg,1,,,Kilo,Kilo,2789
Pasote Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Patron Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Patron El Cielo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Patron Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Patron Silver,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,6780
Patron XO Cafe,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,8767
Peanuts Roasted,,Dry / Pantry,each,each,1,,,1 KG,1 KG,
Pears Nashi,,Produce,each,each,1,,,Kilo,Kilo,707
Pepita Seeds,,Dry / Pantry,each,each,1,,,Kilo,Kilo,1207
Pepper Black Cracked,,Herbs & Spices,each,each,1,,,400 Grams,400 Grams,1401
Peppercorns Black Whole,,Herbs & Spices,each,each,1,,,500 Grams,500 Grams,0
Petite Bouche Bulls Blood,,Produce,each,each,1,,,Punnet,Punnet,
Petite Bouche Chervil,,Produce,each,each,1,,,Punnet,Punnet,
Petite Bouche Red Elk,,Produce,each,each,1,,,Punnet,Punnet,
Petite Bouche Upperland Cress,,Produce,each,each,1,,,Punnet,Punnet,
Petite Bouche Watercress,,Produce,each,each,1,,,Punnet,Punnet,
Pineapples,,Produce,each,each,1,,,Each,Each,546
Prawn Meat Raw,,Seafood,kg,kg,1,,,700 Grams,700 Grams,1800
Quiquiriqui,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Raicilla Las Perlas,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,11540
Rice Basmati,,Dry / Pantry,each,each,1,,,Kilo,Kilo,300
Ron Santiago de Cuba 8yo,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
Ron Santiago de Cuba Carta Blanca,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,4647
Rosso Antico Sweet Vermouth,,Liqueurs & Aperitifs,bottle,bottle,1,,,750 mL,750 mL,2065
R. Paulazzo Rose,,Wine — Rosé,bottle,bottle,1,,,750 mL,750 mL,916
Sabi Wabi Pet Nat,,Wine — Sparkling,bottle,bottle,1,,,750 mL,750 mL,
Salmon Fillet Sashimi Skin On,,Seafood,kg,kg,1,,,Kilo,Kilo,3749
Salt Flakes,,Dry / Pantry,each,each,1,,,Kilo,Kilo,
Salt Rock Coarse,,Dry / Pantry,each,each,1,,,Kilo,Kilo,
Salt Table,,Dry / Pantry,each,each,1,,,Kilo,Kilo,100
Sammy Piquant The Jetsetter,,Non-Alcoholic & Mixers,each,each,1,,,700 mL,700 mL,2995
San Cosme Mezcal,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,7880
Sea Salt Flakes,,Dry / Pantry,each,each,1,,,2 KG,2 KG,
Serenello Prosecco,,Wine — Sparkling,bottle,bottle,1,,,750 mL,750 mL,1615
Sesame Seed White,,Dry / Pantry,each,each,1,,,1 KG,1 KG,900
Shallots Golden Peeled,,Produce,each,each,1,,,1 KG,1 KG,
Shut The Gate For Freedom Gewurztraminer,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Siete Leguas Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Sour Cream Light,,Dairy & Eggs,each,each,1,,,Litre,Litre,
Stephane Brocard Macon Villages,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2789
Strangelove Double Ginger Beer,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,266
Strangelove Lemon Squash,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,265
Strangelove Very Mandarin,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,240
Strangelove Yuzu Soda,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,264
Strawberries Large Punnet,,Produce,punnet,punnet,1,,,Punnet,Punnet,518
Sugar Brown,,Dry / Pantry,each,each,1,,,Kilo,Kilo,406
Sugar Caster,,Dry / Pantry,each,each,1,,,Kilo,Kilo,275
Supasawa,,Non-Alcoholic & Mixers,each,each,1,,,700 mL,700 mL,2468
Tapatio Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Tapatio Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,10480
Tarragon Bunch,,Produce,bunch,bunch,1,,,Bunch,Bunch,
Terralta Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Teusner Avatar GSM,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,2451
Teusner Wark Family Shiraz,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,1383
Thoquino Cachaca,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
Thyme Dried,,Dry / Pantry,each,each,1,,,1 KG,1 KG,4000
Tomatillos Green Can,,Produce,each,each,1,,,4 KG,4 KG,1350
Tomatoes,,Produce,each,each,1,,,Kilo,Kilo,4176
Tomatoes Cherry,,Produce,each,each,1,,,Punnet,Punnet,330
Tomato Ketchup 1L,,Oils & Condiments,each,each,1,,,each,,
Tortilla Corn,,Bakery,each,each,1,,,Each,Each,17
Tortilla Flour 12inch,,Bakery,each,each,1,,,Each,Each,48
Tres Agaves Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Tromba Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Vanguardist Field GSM,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,
Vanilla Bean Paste,,Herbs & Spices,each,each,1,,,320 Grams,320 Grams,3013
Villa Albergotti Chianti Superiore,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,2061
Vinegar Apple Cider,,Oils & Condiments,each,each,1,,,2 L,2 L,480
Vinegar White,,Oils & Condiments,each,each,1,,,Litre,Litre,108
Vinegar White Wine,,Oils & Condiments,each,each,1,,,4 L,4 L,1040
Vodka One,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,3850
Vok Creme de Cacao Blanco,,Liqueurs & Aperitifs,bottle,bottle,1,,,500 mL,500 mL,2326
Wakame,,Produce,each,each,1,,,500 Grams,500 Grams,
Watermelon juice,,Non-Alcoholic & Mixers,each,each,1,,,Litre,Litre,696
Weingut Huls Riesling,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Winmark Rusty's Run Chardonnay,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Wonton Egg Wrapper,,Dry / Pantry,each,each,1,,,300 Grams,300 Grams,300
Woodford Reserve Bourbon,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
