item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
Bananas Plantain Kg,,Produce,kg,kg,1,,,kg,,1050
BARRAMUNDI FILLETS IMP 200/300 S/OFF 5KG (Trading) CTN,,Seafood,kg,kg,1,,,kg,,8700
BARSOL PISCO 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,7029
Bay Leaves Bunch,,Herbs & Spices,each,each,1,,,units,,214
Beetroot Medium Kg,,Produce,kg,kg,1,,,kg,,380
BICARB SODA 1KG (Krio Krush) EA,,Dry / Pantry,each,each,1,,each,kg,,600
Briar Ridge 'BDX',,Wine — Red,bottle,bottle,1,,,ml,,1250
Briar Ridge The Squire Chardonnay 2024 (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,13200
BROCCOLINI box (12 bun),,Produce,each,each,1,,,units,,3600
Broccolinni Box,,Produce,each,each,1,,,units,,3373
BRUXO X 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7700
Cabbage Each,,Produce,each,each,1,,each,units,,580
Cabbage Red Each,,Produce,each,each,1,,each,units,,660
CALLE 23 BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7724
CALLE 23 REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8883
Callebaut Chocolate White Callet 28% 2.5kg,,Desserts & Sweets,each,each,1,,,g,,10934
CAPERS BABY 700GM (Sandhurst),,Oils & Condiments,each,each,1,,,g,,1150
Capsicum Green Large Kg,,Produce,kg,kg,1,,,kg,,580
Capsicum Red Large Kg,,Produce,kg,kg,1,,,kg,,580
Caramelised Balsamic Vinegar 2.5L - Pukara Estate,,Oils & Condiments,each,each,1,,,g,,7475
Carrots Dutch Box,,Produce,each,each,1,,,units,,5511
Carrots Medium,,Produce,each,each,1,,,kg,,264
Carrots Medium Kg,,Produce,kg,kg,1,,,kg,,225
CASHEW PIECES 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,1200
Cauliflower Each,,Produce,each,each,1,,each,units,,480
Celery Bunch,,Produce,bunch,bunch,1,,,units,,477
Chateau Domecq,,Wine — Red,bottle,bottle,1,,,ml,,1785
Chateau La Grave Figeac,,Wine — Red,bottle,bottle,1,,,ml,,6980
Chilli Jalapeno Kg,,Produce,kg,kg,1,,,kg,,1400
Chilli Large Red,,Produce,each,each,1,,,kg,,2375
Chilli Morita,,Produce,each,each,1,,,kg,,5000
Chilli Poblano Kilo,,Produce,kg,kg,1,,,kg,,1750
"Chilli,Shishito Pepper Kg",,Produce,kg,kg,1,,,kg,,5940
CHIPOTLE CHILLIS A10 IN ADOBE SCE 3KG (Faro) EA (6),,Produce,each,each,1,,each,kg,,1850
Chipotle Chillis in adobo sauce  2.8KG-SAN MARCOS,,Oils & Condiments,each,each,1,,,kg,,2030
CHIPS 7MM SHOESTRING FRIES 5X3KG G/FREE (McCain) CTN,,Frozen,each,each,1,,,kg,,6700
CHOCOLATE WHITE 2.5KG (Callebaut) EA (8),,Desserts & Sweets,each,each,1,,each,g,,12000
CHORIZO DON'S,,Meat & Poultry,kg,kg,1,,,kg,,3950
CINNAMON GROUND 400GM (Chefs Choice) EA,,Herbs & Spices,each,each,1,,each,g,,1100
CINNAMON QUILL 200GM (Chefs Choice) EA,,Herbs & Spices,each,each,1,,each,g,,1000
